Applicable At,Applicable For,Data Item,Value,Generated Time,Quality Indicator
24/12/2024 23:00:00,24/12/2024,"Temperature, Forecast, D",6.6515,24/12/2024 23:30:00,
23/12/2024 23:00:00,23/12/2024,"Temperature, Forecast, D",4.81838,23/12/2024 23:30:00,
22/12/2024 23:00:00,22/12/2024,"Temperature, Forecast, D",3.92301,22/12/2024 23:30:00,
21/12/2024 23:00:00,21/12/2024,"Temperature, Forecast, D",5.27671,21/12/2024 23:30:00,
20/12/2024 23:00:00,20/12/2024,"Temperature, Forecast, D",5.07572,20/12/2024 23:30:00,
19/12/2024 23:00:00,19/12/2024,"Temperature, Forecast, D",5.42306,19/12/2024 23:30:00,
18/12/2024 23:00:00,18/12/2024,"Temperature, Forecast, D",7.6671,18/12/2024 23:30:00,
17/12/2024 23:00:00,17/12/2024,"Temperature, Forecast, D",6.60281,17/12/2024 23:30:00,
16/12/2024 23:00:00,16/12/2024,"Temperature, Forecast, D",6.96031,16/12/2024 23:30:00,
15/12/2024 23:00:00,15/12/2024,"Temperature, Forecast, D",6.41746,15/12/2024 23:30:00,
14/12/2024 23:00:00,14/12/2024,"Temperature, Forecast, D",4.63367,14/12/2024 23:30:00,
13/12/2024 23:00:00,13/12/2024,"Temperature, Forecast, D",4.22743,13/12/2024 23:30:00,
12/12/2024 23:00:00,12/12/2024,"Temperature, Forecast, D",4.58061,12/12/2024 23:30:00,
11/12/2024 23:00:00,11/12/2024,"Temperature, Forecast, D",4.21567,11/12/2024 23:30:00,
10/12/2024 23:00:00,10/12/2024,"Temperature, Forecast, D",4.3776,10/12/2024 23:30:00,
09/12/2024 23:00:00,09/12/2024,"Temperature, Forecast, D",4.91811,09/12/2024 23:30:00,
08/12/2024 23:00:00,08/12/2024,"Temperature, Forecast, D",4.75714,08/12/2024 23:30:00,
07/12/2024 23:00:00,07/12/2024,"Temperature, Forecast, D",4.32021,07/12/2024 23:30:00,
06/12/2024 23:00:00,06/12/2024,"Temperature, Forecast, D",6.14411,06/12/2024 23:30:00,
05/12/2024 23:00:00,05/12/2024,"Temperature, Forecast, D",6.80662,05/12/2024 23:30:00,
04/12/2024 23:00:00,04/12/2024,"Temperature, Forecast, D",5.32457,04/12/2024 23:30:00,
03/12/2024 23:00:00,03/12/2024,"Temperature, Forecast, D",5.39813,03/12/2024 23:49:01,L
02/12/2024 23:00:00,02/12/2024,"Temperature, Forecast, D",6.805,02/12/2024 23:30:00,
01/12/2024 23:00:00,01/12/2024,"Temperature, Forecast, D",8.50008,01/12/2024 23:30:00,
30/11/2024 23:00:00,30/11/2024,"Temperature, Forecast, D",7.74477,30/11/2024 23:30:00,
29/11/2024 23:00:00,29/11/2024,"Temperature, Forecast, D",5.16203,29/11/2024 23:30:00,
28/11/2024 23:00:00,28/11/2024,"Temperature, Forecast, D",3.73612,28/11/2024 23:30:00,
27/11/2024 23:00:00,27/11/2024,"Temperature, Forecast, D",4.59578,27/11/2024 23:30:00,
26/11/2024 23:00:00,26/11/2024,"Temperature, Forecast, D",6.37223,26/11/2024 23:30:00,
25/11/2024 23:00:00,25/11/2024,"Temperature, Forecast, D",7.24848,25/11/2024 23:30:00,
24/11/2024 23:00:00,24/11/2024,"Temperature, Forecast, D",7.67974,24/11/2024 23:30:00,
23/11/2024 23:00:00,23/11/2024,"Temperature, Forecast, D",4.83382,23/11/2024 23:30:00,
22/11/2024 23:00:00,22/11/2024,"Temperature, Forecast, D",2.48305,22/11/2024 23:30:00,
21/11/2024 23:00:00,21/11/2024,"Temperature, Forecast, D",1.58729,21/11/2024 23:30:00,
20/11/2024 23:00:00,20/11/2024,"Temperature, Forecast, D",2.5294,20/11/2024 23:30:00,
19/11/2024 23:00:00,19/11/2024,"Temperature, Forecast, D",3.33847,19/11/2024 23:30:00,
18/11/2024 23:00:00,18/11/2024,"Temperature, Forecast, D",5.45262,18/11/2024 23:30:00,
17/11/2024 23:00:00,17/11/2024,"Temperature, Forecast, D",6.65044,17/11/2024 23:30:00,
16/11/2024 23:00:00,16/11/2024,"Temperature, Forecast, D",7.15088,16/11/2024 23:30:00,
15/11/2024 23:00:00,15/11/2024,"Temperature, Forecast, D",7.35366,15/11/2024 23:30:00,
14/11/2024 23:00:00,14/11/2024,"Temperature, Forecast, D",7.90066,14/11/2024 23:30:00,
13/11/2024 23:00:00,13/11/2024,"Temperature, Forecast, D",7.73143,13/11/2024 23:30:00,
12/11/2024 23:00:00,12/11/2024,"Temperature, Forecast, D",7.42279,12/11/2024 23:30:00,
