Applicable At,Applicable For,Data Item,Value,Generated Time,Quality Indicator
01/01/2025 23:00:00,02/01/2025,"Temperature, Forecast, D-1",3.15709,01/01/2025 23:30:00,
31/12/2024 23:00:00,01/01/2025,"Temperature, Forecast, D-1",5.13275,31/12/2024 23:30:00,
30/12/2024 23:00:00,31/12/2024,"Temperature, Forecast, D-1",6.131,30/12/2024 23:30:00,
29/12/2024 23:00:00,30/12/2024,"Temperature, Forecast, D-1",5.43119,29/12/2024 23:30:00,
28/12/2024 23:00:00,29/12/2024,"Temperature, Forecast, D-1",5.02534,28/12/2024 23:30:00,
27/12/2024 23:00:00,28/12/2024,"Temperature, Forecast, D-1",4.89355,27/12/2024 23:30:00,
26/12/2024 23:00:00,27/12/2024,"Temperature, Forecast, D-1",5.88945,26/12/2024 23:30:00,
25/12/2024 23:00:00,26/12/2024,"Temperature, Forecast, D-1",6.68307,25/12/2024 23:30:00,
24/12/2024 23:00:00,25/12/2024,"Temperature, Forecast, D-1",7.20106,24/12/2024 23:30:00,
23/12/2024 23:00:00,24/12/2024,"Temperature, Forecast, D-1",7.02114,23/12/2024 23:30:00,
22/12/2024 23:00:00,23/12/2024,"Temperature, Forecast, D-1",4.92351,22/12/2024 23:30:00,
21/12/2024 23:00:00,22/12/2024,"Temperature, Forecast, D-1",3.80952,21/12/2024 23:30:00,
20/12/2024 23:00:00,21/12/2024,"Temperature, Forecast, D-1",5.23676,20/12/2024 23:30:00,
19/12/2024 23:00:00,20/12/2024,"Temperature, Forecast, D-1",5.14953,19/12/2024 23:30:00,
18/12/2024 23:00:00,19/12/2024,"Temperature, Forecast, D-1",5.48285,18/12/2024 23:30:00,
17/12/2024 23:00:00,18/12/2024,"Temperature, Forecast, D-1",7.78346,17/12/2024 23:30:00,
16/12/2024 23:00:00,17/12/2024,"Temperature, Forecast, D-1",6.89511,16/12/2024 23:30:00,
15/12/2024 23:00:00,16/12/2024,"Temperature, Forecast, D-1",6.98966,15/12/2024 23:30:00,
14/12/2024 23:00:00,15/12/2024,"Temperature, Forecast, D-1",6.52081,14/12/2024 23:30:00,
