Applicable At,Applicable For,Data Item,Value,Generated Time,Quality Indicator
02/12/2024 11:40:00,25/11/2024,"SAP, Actual Day",3.9596,02/12/2024 11:41:01,L
02/12/2024 11:40:00,26/11/2024,"SAP, Actual Day",4.0493,02/12/2024 11:41:01,L
02/12/2024 11:40:00,27/11/2024,"SAP, Actual Day",3.9859,02/12/2024 11:41:01,L
02/12/2024 11:40:00,28/11/2024,"SAP, Actual Day",3.9934,02/12/2024 11:41:01,L
02/12/2024 11:40:00,29/11/2024,"SAP, Actual Day",3.9838,02/12/2024 11:41:01,L
02/12/2024 11:40:00,30/11/2024,"SAP, Actual Day",4.0151,02/12/2024 11:41:01,L
01/11/2024 11:40:00,01/10/2024,"SAP, Actual Day",3.2061,01/11/2024 11:41:00,L
01/11/2024 11:40:00,02/10/2024,"SAP, Actual Day",3.216,01/11/2024 11:41:00,L
01/11/2024 11:40:00,03/10/2024,"SAP, Actual Day",3.2165,01/11/2024 11:41:00,L
01/11/2024 11:40:00,04/10/2024,"SAP, Actual Day",3.3373,01/11/2024 11:41:00,L
01/11/2024 11:40:00,05/10/2024,"SAP, Actual Day",3.338,01/11/2024 11:41:00,L
01/11/2024 11:40:00,06/10/2024,"SAP, Actual Day",3.3666,01/11/2024 11:41:00,L
01/11/2024 11:40:00,07/10/2024,"SAP, Actual Day",3.3662,01/11/2024 11:41:00,L
01/11/2024 11:40:00,08/10/2024,"SAP, Actual Day",3.2279,01/11/2024 11:41:00,L
01/11/2024 11:40:00,09/10/2024,"SAP, Actual Day",3.2088,01/11/2024 11:41:00,L
01/11/2024 11:40:00,10/10/2024,"SAP, Actual Day",3.3058,01/11/2024 11:41:00,L
01/11/2024 11:40:00,11/10/2024,"SAP, Actual Day",3.3078,01/11/2024 11:41:00,L
01/11/2024 11:40:00,12/10/2024,"SAP, Actual Day",3.2918,01/11/2024 11:41:00,L
01/11/2024 11:40:00,13/10/2024,"SAP, Actual Day",3.3786,01/11/2024 11:41:00,L
01/11/2024 11:40:00,14/10/2024,"SAP, Actual Day",3.3658,01/11/2024 11:41:00,L
01/11/2024 11:40:00,15/10/2024,"SAP, Actual Day",3.3047,01/11/2024 11:41:00,L
01/11/2024 11:40:00,16/10/2024,"SAP, Actual Day",3.2838,01/11/2024 11:41:00,L
01/11/2024 11:40:00,17/10/2024,"SAP, Actual Day",3.2734,01/11/2024 11:41:00,L
01/11/2024 11:40:00,18/10/2024,"SAP, Actual Day",3.3076,01/11/2024 11:41:00,L
01/11/2024 11:40:00,19/10/2024,"SAP, Actual Day",3.2562,01/11/2024 11:41:00,L
01/11/2024 11:40:00,20/10/2024,"SAP, Actual Day",3.2775,01/11/2024 11:41:00,L
01/11/2024 11:40:00,21/10/2024,"SAP, Actual Day",3.3662,01/11/2024 11:41:00,L
01/11/2024 11:40:00,22/10/2024,"SAP, Actual Day",3.4577,01/11/2024 11:41:00,L
01/11/2024 11:40:00,23/10/2024,"SAP, Actual Day",3.4854,01/11/2024 11:41:00,L
01/11/2024 11:40:00,24/10/2024,"SAP, Actual Day",3.5739,01/11/2024 11:41:00,L
01/11/2024 11:40:00,25/10/2024,"SAP, Actual Day",3.6699,01/11/2024 11:41:00,L
01/11/2024 11:40:00,26/10/2024,"SAP, Actual Day",3.681,01/11/2024 11:41:00,L
01/11/2024 11:40:00,27/10/2024,"SAP, Actual Day",3.6692,01/11/2024 11:41:00,L
01/11/2024 11:40:00,28/10/2024,"SAP, Actual Day",3.649,01/11/2024 11:41:00,L
01/11/2024 11:40:00,29/10/2024,"SAP, Actual Day",3.6349,01/11/2024 11:41:00,L
01/11/2024 11:40:00,30/10/2024,"SAP, Actual Day",3.5364,01/11/2024 11:41:00,L
01/11/2024 11:40:00,31/10/2024,"SAP, Actual Day",3.3838,01/11/2024 11:41:00,L
01/10/2024 12:40:00,01/09/2024,"SAP, Actual Day",3.1251,01/10/2024 12:41:00,L
01/10/2024 12:40:00,02/09/2024,"SAP, Actual Day",3.1989,01/10/2024 12:41:00,L
01/10/2024 12:40:00,03/09/2024,"SAP, Actual Day",3.0426,01/10/2024 12:41:00,L
01/10/2024 12:40:00,04/09/2024,"SAP, Actual Day",2.9521,01/10/2024 12:41:00,L
01/10/2024 12:40:00,05/09/2024,"SAP, Actual Day",2.9484,01/10/2024 12:41:00,L
01/10/2024 12:40:00,06/09/2024,"SAP, Actual Day",3.0049,01/10/2024 12:41:00,L
01/10/2024 12:40:00,07/09/2024,"SAP, Actual Day",3.0328,01/10/2024 12:41:00,L
01/10/2024 12:40:00,08/09/2024,"SAP, Actual Day",3.0141,01/10/2024 12:41:00,L
